experiment,scenario,run_id,tick,carla_frame,simulation_time_s,ego_speed_mps,ego_acceleration_mps2,ground_truth_object_type,distance_to_object_m,camera_vehicle_pixels,camera_pedestrian_pixels,camera_traffic_light_pixels,bev_vehicle_pixels,bev_walker_pixels,bev_stop_sign_pixels,bev_light_green_pixels,bev_light_yellow_pixels,bev_light_red_pixels,prob_speed_0,prob_speed_2,prob_speed_3,prob_speed_6,pred_target_speed_mps,decided_action,previous_action,decision_changed,throttle,brake,steer,target_point_x,target_point_y,road_command,expected_perception,actual_perception,perception_correct,expected_safe_action,action_correct,timely_action,collision,time_to_collision_s
Object in Road,Pedestrian in Red,run_1,0,199816,0.0,1.9600002765655518,9.800003051757812,pedestrian in red,29.844944402575493,116,0,0,59,0,0,0,0,0,6.172571715978847e-07,0.00020199226855766028,2.3021866581984796e-06,0.999795138835907,5.999181747436523,go_fast,stop,True,0.75,0.0,0.0,49.75056457519531,-0.13987688720226288,LANEFOLLOW,none,none,True,go,False,,False,
Object in Road,Pedestrian in Red,run_1,5,199821,0.25,0.11209821701050988,12.519777298004447,pedestrian in red,29.857069417834282,108,0,0,72,0,0,0,0,0,2.661776989043574e-06,4.1805662476690486e-05,2.459509687469108e-06,0.999953031539917,5.999809265136719,go_fast,go_fast,False,0.75,0.0,0.0,49.75056457519531,-0.13987688720226288,LANEFOLLOW,none,none,True,go,False,,False,
Object in Road,Pedestrian in Red,run_1,10,199826,0.5,0.16076517105112245,0.8133867383161851,pedestrian in red,29.855566427111626,118,0,0,44,0,0,0,0,0,1.2023378985759337e-06,2.9070230084471405e-05,2.9334703413042007e-06,0.9999667406082153,5.9998674392700195,go_fast,go_fast,False,0.75,0.0,0.0,49.75056457519531,-0.13987688720226288,LANEFOLLOW,none,none,True,go,False,,False,
Object in Road,Pedestrian in Red,run_1,15,199831,0.75,2.568322561305926,6.656513628995675,pedestrian in red,29.485918447375298,94,0,0,82,0,0,0,0,0,2.998761772232683e-07,1.793438605091069e-05,1.395563003825373e-06,0.9999803304672241,5.999921798706055,go_fast,go_fast,False,0.75,0.0,-0.4970000088214874,49.38136291503906,-0.13953135907649994,LANEFOLLOW,none,none,True,go,False,,False,11.5486518841096
Object in Road,Pedestrian in Red,run_1,20,199836,1.0,3.769974723581809,6.119062263377684,pedestrian in red,28.696920797228813,90,0,0,54,0,0,0,0,0,1.2647667517740047e-06,3.7072153645567596e-05,2.8353501875244547e-06,0.999958872795105,5.99983549118042,go_fast,go_fast,False,0.75,0.0,-0.3779999911785126,48.4271240234375,3.9933154582977295,LANEFOLLOW,none,none,True,go,False,,False,8.167392828404891
Object in Road,Pedestrian in Red,run_1,25,199841,1.25,4.941996683467755,5.14984806184279,pedestrian in red,27.670074865221977,177,0,0,43,0,0,0,0,0,1.143084887189616e-06,1.002415046968963e-05,2.254761511721881e-06,0.9999865293502808,5.999945640563965,go_fast,go_fast,False,0.75,0.0,-0.2980000078678131,46.22895431518555,11.175602912902832,LANEFOLLOW,none,none,True,go,False,,False,6.249835957411862
Object in Road,Pedestrian in Red,run_1,30,199846,1.5,5.547508035969458,4.367729343010244,pedestrian in red,26.479425832629204,109,0,0,70,0,0,0,0,0,1.188521764561301e-06,2.9659013307536952e-06,5.487632392942032e-07,0.9999953508377075,5.9999799728393555,go_fast,go_fast,False,0.75,0.0,-0.16300000250339508,42.8940315246582,17.58708381652832,LANEFOLLOW,none,none,True,go,False,,False,5.6487591718492025
Object in Road,Pedestrian in Red,run_1,35,199851,1.75,6.688878460138348,4.4090356521801795,pedestrian in red,25.175857946276665,321,0,0,77,0,0,0,0,0,5.4266263759927824e-05,1.0336323612136766e-05,1.4237631376090576e-06,0.9999339580535889,5.99962854385376,go_fast,go_fast,False,0.0,1.0,0.03099999949336052,39.51515579223633,21.598541259765625,LANEFOLLOW,none,none,True,go,False,,False,4.631731036860416
Object in Road,Pedestrian in Red,run_1,40,199856,2.0,6.391551952548602,3.5655307567447396,pedestrian in red,23.77329485118389,293,0,0,57,0,0,0,0,0,7.452078534697648e-06,2.0452596800168976e-05,1.9348760815773858e-06,0.9999701976776123,5.999867916107178,go_fast,go_fast,False,0.04374999925494194,0.0,0.19200000166893005,37.669471740722656,21.934232711791992,LANEFOLLOW,none,none,True,go,False,,False,4.448211996209838
Object in Road,Pedestrian in Red,run_1,45,199861,2.25,5.60668980273853,3.531104292524433,pedestrian in red,22.488909170031548,348,0,0,22,0,0,0,0,0,2.102601456499542e-06,1.8419750631437637e-05,7.070853371260455e-06,0.9999724626541138,5.9998931884765625,go_fast,go_fast,False,0.75,0.0,0.2240000069141388,37.701168060302734,19.096141815185547,LANEFOLLOW,none,none,True,go,False,,False,4.500697841105742
