experiment,scenario,run_id,tick,carla_frame,simulation_time_s,ego_speed_mps,ego_acceleration_mps2,ground_truth_object_type,distance_to_object_m,camera_vehicle_pixels,camera_pedestrian_pixels,camera_traffic_light_pixels,bev_vehicle_pixels,bev_walker_pixels,bev_stop_sign_pixels,bev_light_green_pixels,bev_light_yellow_pixels,bev_light_red_pixels,prob_speed_0,prob_speed_2,prob_speed_3,prob_speed_6,pred_target_speed_mps,decided_action,previous_action,decision_changed,throttle,brake,steer,target_point_x,target_point_y,road_command,expected_perception,actual_perception,perception_correct,expected_safe_action,action_correct,timely_action,collision,time_to_collision_s
Object in Road,Pedestrian,run_1,0,179960,0.0,1.9600002765655518,9.800003051757812,pedestrian,29.844944402575493,23,0,0,0,0,0,0,0,0,6.551071578542178e-07,0.00014023453695699573,1.9749948023672914e-06,0.9998570680618286,5.999429225921631,go_fast,stop,True,0.75,0.0,0.0,49.75056457519531,-0.13987688720226288,LANEFOLLOW,none,none,True,go,False,,False,
Object in Road,Pedestrian,run_1,5,179965,0.25,0.11209821701050988,12.519777298004447,pedestrian,29.857069417834282,25,0,0,70,0,0,0,0,0,2.8672129701590165e-06,4.6596953325206414e-05,2.301768745383015e-06,0.999948263168335,5.999789714813232,go_fast,go_fast,False,0.75,0.0,0.0,49.75056457519531,-0.13987688720226288,LANEFOLLOW,none,none,True,go,False,,False,
Object in Road,Pedestrian,run_1,10,179970,0.5,0.16076517105112245,0.8133867383161851,pedestrian,29.855566427111626,0,0,0,58,0,0,0,0,0,1.317014152846241e-06,2.4019151169341058e-05,2.684286073417752e-06,0.9999719858169556,5.9998884201049805,go_fast,go_fast,False,0.75,0.0,0.0,49.75056457519531,-0.13987688720226288,LANEFOLLOW,none,none,True,go,False,,False,
Object in Road,Pedestrian,run_1,15,179975,0.75,2.568322561305926,6.656513628995675,pedestrian,29.485918447375298,4,0,0,77,0,0,0,0,0,4.326963107814663e-07,2.3401238649967127e-05,1.8756256849883357e-06,0.999974250793457,5.9998979568481445,go_fast,go_fast,False,0.75,0.0,-0.5049999952316284,49.38136291503906,-0.13953135907649994,LANEFOLLOW,none,none,True,go,False,,False,11.5486518841096
Object in Road,Pedestrian,run_1,20,179980,1.0,3.766167881670958,6.238314326864355,pedestrian,28.697225973010063,22,0,0,0,0,0,0,0,0,1.259981218026951e-06,3.370429840288125e-05,2.520807356631849e-06,0.999962568283081,5.999850273132324,go_fast,go_fast,False,0.75,0.0,-0.37599998712539673,48.4261589050293,4.00866174697876,LANEFOLLOW,none,none,True,go,False,,False,8.18694481751837
Object in Road,Pedestrian,run_1,25,179985,1.25,4.9411374300329856,5.142105872877531,pedestrian,27.67080347239971,135,0,0,0,0,0,0,0,0,7.144648748180771e-07,7.618232757522492e-06,1.8262985577166546e-06,0.9999898672103882,5.999959468841553,go_fast,go_fast,False,0.75,0.0,-0.29899999499320984,46.229087829589844,11.17813491821289,LANEFOLLOW,none,none,True,go,False,,False,6.248308332207397
Object in Road,Pedestrian,run_1,30,179990,1.5,5.547409028193834,4.379160286250087,pedestrian,26.480476781725883,13,0,0,0,0,0,0,0,0,9.574647492627264e-07,2.975449433506583e-06,4.80747019082628e-07,0.9999955892562866,5.999980926513672,go_fast,go_fast,False,0.75,0.0,-0.16200000047683716,42.89002990722656,17.599567413330078,LANEFOLLOW,none,none,True,go,False,,False,5.651617586053826
Object in Road,Pedestrian,run_1,35,179995,1.75,6.62907126468525,3.8461976126494926,pedestrian,25.177736684679985,90,0,0,0,0,0,0,0,0,7.397997251246125e-05,1.1320025805616751e-05,1.7381505585944979e-06,0.9999129772186279,5.999505519866943,go_fast,go_fast,False,0.0,1.0,0.03200000151991844,39.514671325683594,21.603343963623047,LANEFOLLOW,none,none,True,go,False,,False,4.672012343134198
Object in Road,Pedestrian,run_1,40,180000,2.0,6.454133862808102,2.7618113082189932,pedestrian,23.762586995959282,0,0,0,0,0,0,0,0,0,9.769012649485376e-06,1.730465555738192e-05,1.7954045006263186e-06,0.9999711513519287,5.999866962432861,go_fast,go_fast,False,0.04374999925494194,0.0,0.1889999955892563,37.75845718383789,21.758678436279297,LANEFOLLOW,none,none,True,go,False,,False,4.3890867293076905
Object in Road,Pedestrian,run_1,45,180005,2.25,5.568358986046889,4.925012788186811,pedestrian,22.471741124987602,27,11,0,0,0,0,0,0,0,3.1311105885833967e-06,4.1810017137322575e-05,1.5111756511032581e-05,0.9999399185180664,5.999768257141113,go_fast,go_fast,False,0.75,0.0,0.21299999952316284,37.840736389160156,18.78032684326172,LANEFOLLOW,none,none,True,go,False,,False,4.500887279291694
