experiment,scenario,run_id,tick,carla_frame,simulation_time_s,ego_speed_mps,ego_acceleration_mps2,ground_truth_object_type,distance_to_object_m,camera_vehicle_pixels,camera_pedestrian_pixels,camera_traffic_light_pixels,bev_vehicle_pixels,bev_walker_pixels,bev_stop_sign_pixels,bev_light_green_pixels,bev_light_yellow_pixels,bev_light_red_pixels,prob_speed_0,prob_speed_2,prob_speed_3,prob_speed_6,pred_target_speed_mps,decided_action,previous_action,decision_changed,throttle,brake,steer,target_point_x,target_point_y,road_command,expected_perception,actual_perception,perception_correct,expected_safe_action,action_correct,timely_action,collision,time_to_collision_s
Object in Road,Vehicle,run_1,0,187163,0.0,1.9600002765655518,9.800003051757812,vehicle,27.526110887527466,419,0,0,165,0,0,0,0,0,2.7723541506929905e-07,0.00013331256923265755,3.368955049154465e-06,0.9998630285263062,5.999454498291016,go_fast,stop,True,0.75,0.0,0.0,49.75056457519531,-0.13987688720226288,LANEFOLLOW,none,vehicle,False,go,False,,False,
Object in Road,Vehicle,run_1,5,187168,0.25,0.11209821701050988,12.519777298004447,vehicle,27.52361226081848,378,0,0,156,0,0,0,0,0,2.7534713353816187e-06,4.6320463297888637e-05,2.017879978666315e-06,0.9999488592147827,5.999791622161865,go_fast,go_fast,False,0.75,0.0,0.0,49.75056457519531,-0.13987688720226288,LANEFOLLOW,none,vehicle,False,go,False,,False,
Object in Road,Vehicle,run_1,10,187173,0.5,0.16076517105112245,0.8133867383161851,vehicle,27.523545503616333,375,0,0,165,0,0,0,0,0,1.0812397022164077e-06,2.818904431478586e-05,2.5104191081481986e-06,0.9999681711196899,5.999873161315918,go_fast,go_fast,False,0.75,0.0,0.0,49.75056457519531,-0.13987688720226288,LANEFOLLOW,none,vehicle,False,go,False,,False,
Object in Road,Vehicle,run_1,15,187178,0.75,2.568322561305926,6.656513628995675,vehicle,27.154332399368286,395,0,0,182,0,0,0,0,0,3.946110780361778e-07,3.140634362353012e-05,2.556149865995394e-06,0.9999656677246094,5.99986457824707,go_fast,go_fast,False,0.75,0.0,-0.5049999952316284,49.38136291503906,-0.13953135907649994,LANEFOLLOW,none,vehicle,False,go,False,,False,11.5486518841096
Object in Road,Vehicle,run_1,20,187183,1.0,3.766167881670958,6.238314326864355,vehicle,26.36532711982727,393,0,0,174,0,0,0,0,0,1.098743268812541e-06,3.067046418436803e-05,2.0540503555821488e-06,0.9999661445617676,5.99986457824707,go_fast,go_fast,False,0.75,0.0,-0.37599998712539673,48.4261589050293,4.00866174697876,LANEFOLLOW,none,vehicle,False,go,False,,False,8.18694481751837
Object in Road,Vehicle,run_1,25,187188,1.25,4.9411374300329856,5.142105872877531,vehicle,25.338351488113403,503,0,0,126,0,0,0,0,0,1.369646724924678e-06,1.073967450793134e-05,2.400151061010547e-06,0.9999854564666748,5.999941349029541,go_fast,go_fast,False,0.75,0.0,-0.2939999997615814,46.229087829589844,11.17813491821289,LANEFOLLOW,none,vehicle,False,go,False,,False,6.248308332207397
Object in Road,Vehicle,run_1,30,187193,1.5,5.545692370109228,4.3270159581046475,vehicle,24.145901918411255,560,0,0,156,0,0,0,0,0,2.297440687470953e-06,2.7017904358217493e-06,4.6642810502817156e-07,0.9999945163726807,5.999973773956299,go_fast,go_fast,False,0.75,0.0,-0.16300000250339508,42.922454833984375,17.51673698425293,LANEFOLLOW,none,vehicle,False,go,False,,False,5.638471672980345
Object in Road,Vehicle,run_1,35,187198,1.75,6.535985056259195,4.177956984842249,vehicle,22.849501848220825,698,0,0,214,0,0,0,0,0,1.781510036380496e-05,8.845925549394451e-06,1.208474941449822e-06,0.9999721050262451,5.99985408782959,go_fast,go_fast,False,0.0,0.0,0.026000000536441803,39.54631423950195,21.55841827392578,LANEFOLLOW,none,vehicle,False,go,False,,False,4.7318586405801035
Object in Road,Vehicle,run_1,40,187203,2.0,6.697694298232117,1.4977238735629073,vehicle,21.431117296218872,864,0,0,158,0,0,0,0,0,4.992022240912775e-06,1.7726531950756907e-05,1.3128485534252832e-06,0.9999759197235107,5.999895095825195,go_fast,go_fast,False,0.0,1.0,0.18799999356269836,37.66201400756836,21.933528900146484,LANEFOLLOW,none,vehicle,False,go,False,,False,4.246950222482233
Object in Road,Vehicle,run_1,45,187208,2.25,4.206795708648408,26.687556196414345,vehicle,20.137240648269653,1012,0,0,151,0,0,0,0,0,3.62505687689918e-07,0.00010956363985314965,1.9476503439364024e-05,0.9998705387115479,5.999500751495361,go_fast,go_fast,False,0.75,0.0,0.22699999809265137,37.70317077636719,19.05539894104004,LANEFOLLOW,none,vehicle,False,go,False,,False,6.072093636354491
Object in Road,Vehicle,run_1,50,187213,2.5,2.3783137067972286,5.344753814978292,vehicle,19.626153230667114,1011,0,0,154,0,0,0,0,0,2.689743269002065e-06,0.007367792539298534,5.1678987802006304e-05,0.992577850818634,5.970357894897461,go_fast,go_fast,False,0.75,0.0,0.23000000417232513,37.95886993408203,17.304750442504883,LANEFOLLOW,none,vehicle,False,go,False,,False,9.969730789940087
Object in Road,Vehicle,run_1,55,187218,2.75,3.6816562874468044,5.24125082018501,vehicle,18.914960145950317,1045,0,0,153,0,0,0,0,0,3.738980467460351e-07,0.00014278365415520966,1.5743444237159565e-05,0.9998410940170288,5.9993791580200195,go_fast,go_fast,False,0.75,0.0,0.20900000631809235,38.21125030517578,14.824822425842285,LANEFOLLOW,none,vehicle,False,go,False,,False,6.1325675650845115
Object in Road,Vehicle,run_1,60,187223,3.0,4.853114274000017,4.722368534634896,vehicle,17.898871660232544,1053,0,0,127,0,0,0,0,0,7.700805895183294e-07,3.023535100510344e-05,9.00312079465948e-05,0.999879002571106,5.99960470199585,go_fast,go_fast,False,0.75,0.0,0.20100000500679016,38.20956802368164,11.641241073608398,LANEFOLLOW,vehicle,vehicle,True,stop,False,,False,4.370752145980209
Object in Road,Vehicle,run_1,65,187228,3.25,5.43211488009982,2.0072157447662096,vehicle,16.63868260383606,1127,0,0,131,0,0,0,0,0,1.0023334198194789e-06,3.1356965337181464e-05,0.0006053255638107657,0.9993622899055481,5.998052597045898,go_fast,go_fast,False,0.75,0.0,0.15000000596046448,37.81588363647461,8.00918197631836,LANEFOLLOW,vehicle,vehicle,True,stop,False,,False,3.6115125590118455
Object in Road,Vehicle,run_1,70,187233,3.5,6.36580388978769,4.608810242285708,vehicle,15.200753450393677,1234,0,0,160,0,0,0,0,0,2.4655385004734853e-06,1.4831399312242866e-05,0.00017828572890721262,0.9998044371604919,5.999391078948975,go_fast,go_fast,False,0.0,0.0,0.11699999868869781,36.866336822509766,4.8892974853515625,LANEFOLLOW,vehicle,vehicle,True,stop,False,,False,2.8276020081300732
Object in Road,Vehicle,run_1,75,187238,3.75,6.6106290234481495,2.405869397617886,vehicle,13.558514833450317,1597,0,0,165,0,0,0,0,0,5.579067305916396e-07,3.781769464694662e-06,1.2212614819873124e-05,0.9999834299087524,5.999945163726807,go_fast,go_fast,False,0.0,1.0,-0.04100000113248825,35.452579498291016,2.214852809906006,LANEFOLLOW,vehicle,vehicle,True,stop,False,,False,2.457109061738002
